Code,Geography,Currency,Units,Province,Unemployment Rate
CNAH,China: Anhui,,%,2012,3.7
CNAH,China: Anhui,,%,2013,3.41
CNAH,China: Anhui,,%,2014,3.89
CNBJ,China: Beijing,,%,2012,1.27
CNBJ,China: Beijing,,%,2013,1.21
CNBJ,China: Beijing,,%,2014,1.2
CNCQ,China: Chongqing,,%,2012,3.3
CNCQ,China: Chongqing,,%,2013,3.4
CNCQ,China: Chongqing,,%,2014,3.5
CNFJ,China: Fujian,,%,2012,3.63
CNFJ,China: Fujian,,%,2013,3.55
CNFJ,China: Fujian,,%,2014,3.38
CNGS,China: Gansu,,%,2012,2.68
CNGS,China: Gansu,,%,2013,2.3
CNGS,China: Gansu,,%,2014,2.31
CNGD,China: Guangdong,,%,2012,2.5
CNGD,China: Guangdong,,%,2013,2.4
CNGD,China: Guangdong,,%,2014,2.55
CNGX,China: Guangxi,,%,2012,3.41
CNGX,China: Guangxi,,%,2013,3.3
CNGX,China: Guangxi,,%,2014,3.74
CNGZ,China: Guizhou,,%,2012,3.29
CNGZ,China: Guizhou,,%,2013,3.26
CNGZ,China: Guizhou,,%,2014,3.89
CNHI,China: Hainan,,%,2012,1.938
CNHI,China: Hainan,,%,2013,2.17
CNHI,China: Hainan,,%,2014,2.25
CNHE,China: Hebei,,%,2012,3.715
CNHE,China: Hebei,,%,2013,3.68
CNHE,China: Hebei,,%,2014,3.59
CNHL,China: Heilongjiang,,%,2012,4.15
CNHL,China: Heilongjiang,,%,2013,4.44
CNHL,China: Heilongjiang,,%,2014,4.59
CNHA,China: Henan,,%,2012,3.1
CNHA,China: Henan,,%,2013,3.09
CNHA,China: Henan,,%,2014,3.58
CNHB,China: Hubei,,%,2012,3.83
CNHB,China: Hubei,,%,2013,3.49
CNHB,China: Hubei,,%,2014,3.72
CNHN,China: Hunan,,%,2012,4.205
CNHN,China: Hunan,,%,2013,4.2
CNHN,China: Hunan,,%,2014,4.12
CNNM,China: Inner Mongolia,,%,2012,3.73
CNNM,China: Inner Mongolia,,%,2013,3.66
CNNM,China: Inner Mongolia,,%,2014,4.04
CNJS,China: Jiangsu,,%,2012,3.14
CNJS,China: Jiangsu,,%,2013,3.03
CNJS,China: Jiangsu,,%,2014,3.01
CNJX,China: Jiangxi,,%,2012,3.0
CNJX,China: Jiangxi,,%,2013,3.17
CNJX,China: Jiangxi,,%,2014,3.27
CNJL,China: Jilin,,%,2012,3.7
CNJL,China: Jilin,,%,2013,3.815
CNJL,China: Jilin,,%,2014,3.57
CNLN,China: Liaoning,,%,2012,3.6
CNLN,China: Liaoning,,%,2013,3.35
CNLN,China: Liaoning,,%,2014,3.55
CNNX,China: Ningxia,,%,2012,4.2
CNNX,China: Ningxia,,%,2013,4.06
CNNX,China: Ningxia,,%,2014,4.15
CNQH,China: Qinghai,,%,2012,3.4
CNQH,China: Qinghai,,%,2013,3.3
CNQH,China: Qinghai,,%,2014,3.26
CNSN,China: Shaanxi,,%,2012,3.22
CNSN,China: Shaanxi,,%,2013,3.32
CNSN,China: Shaanxi,,%,2014,3.45
CNSD,China: Shandong,,%,2012,3.3
CNSD,China: Shandong,,%,2013,3.2
CNSD,China: Shandong,,%,2014,3.35
CNSH,China: Shanghai,,%,2012,4.2
CNSH,China: Shanghai,,%,2013,4.2
CNSH,China: Shanghai,,%,2014,4.21
CNSX,China: Shanxi,,%,2012,3.12
CNSX,China: Shanxi,,%,2013,3.13
CNSX,China: Shanxi,,%,2014,3.4
CNSC,China: Sichuan,,%,2012,4.1
CNSC,China: Sichuan,,%,2013,4.11
CNSC,China: Sichuan,,%,2014,4.15
CNTJ,China: Tianjin,,%,2012,3.6
CNTJ,China: Tianjin,,%,2013,3.6
CNTJ,China: Tianjin,,%,2014,3.57
CNTB,China: Tibet,,%,2012,2.811
CNTB,China: Tibet,,%,2013,2.47
CNTB,China: Tibet,,%,2014,3.29
CNXJ,China: Xinjiang,,%,2012,3.4
CNXJ,China: Xinjiang,,%,2013,3.4
CNXJ,China: Xinjiang,,%,2014,3.48
CNYN,China: Yunnan,,%,2012,4.03
CNYN,China: Yunnan,,%,2013,3.98
CNYN,China: Yunnan,,%,2014,3.88
CNZJ,China: Zhejiang,,%,2012,3.01
CNZJ,China: Zhejiang,,%,2013,3.01
CNZJ,China: Zhejiang,,%,2014,2.99
